域名,可达性,直接查询ip地址,无污染ip地址
iplanet.com,unreachable,"207.240.115.34, 128.11.159.93","128.11.159.93, 207.240.115.34"
pbase.com,unreachable,"54.85.167.91, 52.205.95.210","52.205.95.210, 54.85.167.91"
3m.com,unreachable,192.28.34.26,
collegeboard.org,unreachable,209.48.35.174,209.48.35.174
ibtimes.co.uk,unreachable,52.4.238.183,52.4.238.183
post-gazette.com,unreachable,208.103.124.88,208.103.124.88
me.com,unreachable,"17.142.160.83, 17.178.96.97, 17.172.224.103",
uconn.edu,unreachable,137.99.26.48,137.99.26.48
thehindu.com,unreachable,31.13.69.129,180.179.50.211
arduino.cc,unreachable,100.24.172.113,100.24.172.113
bild.de,unreachable,31.13.66.1,31.13.72.23
ezinearticles.com,unreachable,69.135.101.57,69.135.101.57
moma.org,unreachable,38.125.15.116,38.125.15.116
matterport.com,unreachable,"23.21.233.146, 54.221.226.236","54.221.226.236, 23.21.233.146"
faz.net,unreachable,173.252.73.48,66.220.151.20
12377.cn,unreachable,202.130.245.36,202.130.245.36
breitbart.com,unreachable,31.13.65.1,31.13.66.1
about.google,unreachable,216.239.32.29,216.239.32.29
tutsplus.com,unreachable,"104.17.234.79, 104.17.233.79","104.17.234.79, 104.17.233.79"
rebelmouse.com,unreachable,"54.243.223.182, 54.243.223.181",
kpmg.com,unreachable,57.68.82.151,
corriere.it,unreachable,185.53.36.101,185.53.36.101
southcn.com,unreachable,59.42.241.10,59.42.241.10
maps.google.de,unreachable,66.220.155.12,172.217.160.78
netperf.org,unreachable,34.227.175.69,34.227.175.69
mastercard.com,unreachable,216.119.209.64,216.119.209.64
temple.edu,unreachable,155.247.166.60,155.247.166.60
dede58.com,unreachable,47.107.182.251,
flipboard.com,unreachable,69.171.224.12,13.35.102.9
nhl.com,unreachable,8.20.73.150,8.20.73.150
sacbee.com,unreachable,166.108.32.245,166.108.32.245
cjb.net,unreachable,31.13.65.17,"104.27.152.50, 104.27.153.50"
imagemagick.com,unreachable,"216.239.32.21, 216.239.34.21, 216.239.36.21, 216.239.38.21",
digitaljournal.com,unreachable,38.117.74.211,38.117.74.211
sina.com,unreachable,66.102.251.33,
lmgtfy.com,unreachable,"52.203.65.11, 3.214.169.236, 52.7.202.148, 3.223.119.4, 54.164.252.120, 52.72.245.79, 52.7.140.64, 52.203.78.22",
straitstimes.com,unreachable,31.13.64.1,"54.254.130.37, 52.221.129.104"
eia.gov,unreachable,205.254.135.7,205.254.135.7
imageshack.com,unreachable,"208.94.3.17, 208.94.3.16","208.94.3.17, 208.94.3.16"
independent.ie,unreachable,173.252.73.48,"13.33.231.33, 13.33.231.70, 13.33.231.42, 13.33.231.73"
earth.google.com,unreachable,216.58.200.46,216.58.200.46
worldcat.org,unreachable,75.126.150.210,132.174.0.31
livedoor.jp,unreachable,203.104.153.16,203.104.153.16
federalreserve.gov,unreachable,132.200.148.151,132.200.148.151
virtualbox.org,unreachable,137.254.60.32,
gla.ac.uk,unreachable,130.209.16.93,130.209.16.93
yumpu.com,unreachable,"52.50.30.233, 52.19.78.6, 52.19.186.164","52.50.30.233, 52.19.186.164, 52.19.78.6"
bt.com,unreachable,"213.121.43.135, 213.121.43.136, 213.121.43.3, 193.113.9.164, 213.121.43.2, 213.121.43.137, 213.121.43.1","213.121.43.2, 213.121.43.136, 213.121.43.1, 213.121.43.3, 193.113.9.164, 213.121.43.137, 213.121.43.135"
tesla.com,unreachable,209.133.79.61,209.133.79.61
miami.edu,unreachable,"13.68.209.221, 52.176.60.7","13.68.209.221, 52.176.60.7"
emarketer.com,unreachable,"54.218.224.125, 18.210.63.196","54.218.224.125, 18.210.63.196"
pinterest.co.uk,unreachable,31.13.66.1,"151.101.64.84, 151.101.192.84, 151.101.0.84, 151.101.128.84"
rd.com,unreachable,40.117.154.240,40.117.154.240
panoramio.com,unreachable,66.220.149.18,216.58.200.46
plosone.org,unreachable,216.74.38.76,216.74.38.76
scotsman.com,unreachable,217.135.75.206,
ku.edu,unreachable,129.237.11.76,
oxforddictionaries.com,unreachable,54.68.182.72,54.68.182.72
most.gov.cn,unreachable,168.160.11.102,168.160.11.102
allrecipes.com,unreachable,13.93.202.50,13.93.202.50
i.ytimg.com,unreachable,172.217.160.86,
clinicaltrials.gov,unreachable,"130.14.81.50, 165.112.8.96","130.14.81.50, 165.112.8.96"
ti.com,unreachable,198.47.29.77,198.47.29.77
nwsource.com,unreachable,"96.17.15.58, 96.17.15.83","96.17.15.58, 96.17.15.83"
domaintools.com,unreachable,199.30.228.112,199.30.228.112
justia.com,unreachable,174.129.213.48,174.129.213.48
deezer.com,unreachable,"78.40.123.183, 78.40.123.182","78.40.123.183, 78.40.123.182"
qianlong.com,unreachable,223.203.227.10,223.203.227.10
legislation.gov.uk,unreachable,"18.203.43.136, 3.248.62.94","3.248.62.94, 18.203.43.136"
abb.com,unreachable,138.225.2.33,
thenational.ae,unreachable,52.57.71.40,
everydayhealth.com,unreachable,"3.224.47.173, 107.21.25.254",
java.net,unreachable,137.254.56.25,137.254.56.25
rit.edu,unreachable,129.21.1.40,129.21.1.40
chromium.org,unreachable,216.239.32.27,
so-net.ne.jp,unreachable,210.132.253.161,210.132.253.161
dangdang.com,unreachable,60.29.254.180,60.29.254.180
redbubble.com,unreachable,31.13.71.7,"104.16.86.27, 104.16.85.27"
googlecode.com,unreachable,216.58.200.228,216.58.200.228
knowyourmeme.com,unreachable,75.126.33.156,208.115.103.34
warwick.ac.uk,unreachable,137.205.28.41,137.205.28.41
in.gov,unreachable,208.40.244.65,208.40.244.65
sendspace.com,unreachable,31.13.66.1,31.13.66.6
nces.ed.gov,unreachable,63.145.228.23,
mass.gov,unreachable,146.243.121.22,146.243.121.22
hud.gov,unreachable,170.97.67.13,170.97.67.13
blogspot.com.br,unreachable,172.217.24.9,
canada.com,unreachable,199.71.40.135,199.71.40.135
starwoodhotels.com,unreachable,52.21.50.234,52.21.50.234
c-span.org,unreachable,69.63.186.30,67.15.100.252
marthastewart.com,unreachable,"34.202.112.65, 18.233.81.133, 52.3.145.23",
hindawi.com,unreachable,"54.210.207.51, 3.220.116.91",
lsu.edu,unreachable,130.39.6.220,130.39.6.220
rakuten.com,unreachable,203.190.58.50,203.190.58.50
blog.livedoor.jp,unreachable,203.104.130.159,
nationalarchives.gov.uk,unreachable,89.197.114.176,89.197.114.176
bszs.conac.cn,unreachable,"219.141.240.178, 114.251.191.206",
fws.gov,unreachable,164.159.171.13,
iubenda.com,unreachable,188.226.132.131,188.226.132.131
makeuseof.com,unreachable,"50.16.142.98, 52.86.193.213",
visual.ly,unreachable,52.7.61.155,
lh6.googleusercontent.com,unreachable,172.217.160.65,172.217.160.65
orlandosentinel.com,unreachable,"192.187.77.17, 54.218.214.241, 34.209.174.121","54.218.214.241, 34.209.174.121, 192.187.77.17"
telegram.org,unreachable,69.63.180.173,149.154.167.99
unhcr.org,unreachable,146.247.14.139,
thinkwithgoogle.com,unreachable,172.217.160.78,172.217.160.78
blog.naver.com,unreachable,74.86.228.110,184.27.213.73
business-standard.com,unreachable,199.16.158.190,52.66.67.29
ala.org,unreachable,216.80.72.139,216.80.72.139
chinanews.com.cn,unreachable,123.103.119.52,123.103.119.52
ubisoft.com,unreachable,"54.209.31.123, 52.203.242.104, 34.205.242.33, 107.21.39.198, 54.164.197.85, 34.230.194.40, 54.85.133.95, 18.211.75.213","54.86.202.46, 107.23.247.42, 52.4.211.56, 34.193.148.32, 18.215.112.42, 52.70.245.9, 34.225.54.49, 52.1.107.225"
lbl.gov,unreachable,131.243.228.58,131.243.228.58
expedia.com,unreachable,"52.26.234.148, 52.40.56.178",
yorku.ca,unreachable,130.63.236.137,
